Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/elements/1.1/creator,http://www.w3.org/2002/07/owl#topObjectProperty,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#prefLabel,urn:absolute:RadiationOncologyStructuresOntology#contained_in
urn:absolute:RadiationOncologyStructuresOntology#LN_L_HN10b,LN_L_HN10b,,Occipital nodes,false,,,urn:absolute:RadiationOncologyStructuresOntology#LN_L_HN10,LN_L_HN10b,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Left_External_Iliac_Lymph_Nodes,Left_External_Iliac_Lymph_Nodes,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#External_Iliac_Lymph_Nodes,Left_External_Iliac_Lymph_Nodes,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#LN_L_T04,LN_L_T04,,Left Tracheobronchial,false,,,urn:absolute:RadiationOncologyStructuresOntology#Left_Mediastinal_Lymph_Nodes,LN_L_T04,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#LN_A04sa,LN_A04sa,,Nodes along the short gastric vessels,false,,,urn:absolute:RadiationOncologyStructuresOntology#LN_A_N1,LN_A04sa,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Thyroid,Thyroid,,,false,,,http://www.co-ode.org/ontologies/ont.owl#Neck,Thyroid,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Left_Temporal_Lobe,Left_Temporal_Lobe,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Temporal_Lobes,Left_Temporal_Lobe,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Right_Breast,Right_Breast,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Breasts,Right_Breast,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Left_Rib_02,Left_Rib_02,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Left_Ribs,Left_Rib_02,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#LN_L_HN05b,LN_L_HN05b,,Lower posterior triangle nodes,false,,,urn:absolute:RadiationOncologyStructuresOntology#LN_L_HN05,LN_L_HN05b,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Right_Pulmonary_Artery,Right_Pulmonary_Artery,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Pulmonary_Arteries,Right_Pulmonary_Artery,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Sacral_Vertebrae,Sacral_Vertebrae,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Pelvic_Bones,Sacral_Vertebrae,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Thoracic_Vertebra_12,Thoracic_Vertebra_12,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Thoracic_Vertebrae,Thoracic_Vertebra_12,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Lumbar_Vertebra_02,Lumbar_Vertebra_02,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Lumbar_Vertebrae,Lumbar_Vertebra_02,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Left_Distal_Seminal_Vesicle,Left_Distal_Seminal_Vesicle,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Left_Seminal_Vesicle,Left_Distal_Seminal_Vesicle,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Cervical_Vertebrae,Cervical_Vertebrae,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Cervical_Bones,Cervical_Vertebrae,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Lacrymal_Glands,Lacrymal_Glands,,,false,,,http://www.co-ode.org/ontologies/ont.owl#Head,Lacrymal_Glands,Jean-Emmanuel Bibault,,,,
urn:absolute:RadiationOncologyStructuresOntology#Left_Submandibular_Gland,Left_Submandibular_Gland,,,false,,,urn:absolute:RadiationOncologyStructuresOntology#Submandibular_Glands,Left_Submandibular_Gland,Jean-Emmanuel Bibault,,,,
